Group,Trial,Block,OneOption,Phase,BlockPhase,Frame_type,Target,Prompt,Audio_name,Picture,Gif1,Gif2,ReferentTarget,AttentionGrabber,AG_URL,AttentionGrabber_sound,,,,,,,,,,
B4,9,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,stomp.gif,,,,,,,,,,,,,,,,
B4,10,1,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B4,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B4,11,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,stomp.gif,,,,,,,,,,,,,,,,
B4,12,1,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B4,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,,,,,,,,,,
B4,13,1,N,Test,1Exposure,transitive,lorp,Find lorping.,find_lorping.mp3,,wiggle_ear_short.gif,squat_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B4,14,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_arm_caus.gif,,,,,,,,,,,,,,,,
B4,15,2,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B4,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,,,,,,,,,,
